age,education,occupation,city,prior_recycling,infrastructure,area_type,EC1,EC2,EC3,EC4,EC5,AW1,AW2,AW3,AW4,AW5,FI1,FI2,FI3,FI4,FI5,PC1,PC2,PC3,PC4,PC5,ATT1,ATT2,ATT3,ATT4,ATT5,PBC1,PBC2,PBC3,PBC4,PBC5,RI1,RI2,RI3,RI4,RI5,age_num,age_split,edu_num,prior_recycling_num,EC_mean,AW_mean,FI_mean,PC_mean,ATT_mean,PBC_mean,RI_mean
45 - 60,Postgraduate,Self-employed,Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,4,4,4,4,4,4,3,4,3,3,4,3,4,4,4,3,3,3,3,2,4,4,5,4,4,3,4,4,4,3,4,3,3,4,3,52,Older,4,2,4,3.4,3.8,2.8,4.2,3.6,3.4
45 - 60,Postgraduate,Student,Kozhikode,Often (weekly),"Yes, but inconsistently",Urban tier-2 city,4,4,5,5,5,4,4,4,4,4,3,3,3,4,4,2,2,2,2,2,4,4,5,5,5,5,5,4,5,5,5,5,4,5,5,52,Older,4,4,4.6,4,3.4,2,4.6,4.8,4.8
35 - 44,Undergraduate (completed),Employed (private sector),Bengaluru,Always (daily),"Yes, but inconsistently",Urban metro city,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,2,2,2,2,1,5,4,4,4,5,4,5,5,5,5,4,4,4,4,4,39,Older,3,5,4,4.2,4.2,1.8,4.4,4.8,4
25 - 34,Undergraduate (completed),Employed (government),Mangalore,Rarely (a few times a year),"Yes, regularly",Urban tier-2 city,4,4,3,3,3,4,4,4,4,3,4,4,5,5,5,2,3,3,2,2,4,3,3,4,4,3,3,4,3,3,3,3,3,3,3,29,Older,3,2,3.4,3.8,4.6,2.4,3.6,3.2,3
35 - 44,High school/10+2,Self-employed,Bengaluru,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,4,4,4,4,3,3,4,3,4,3,4,4,4,4,4,2,3,2,3,3,4,4,4,5,4,3,3,3,3,3,4,3,4,4,4,39,Older,1,3,3.8,3.4,4,2.6,4.2,3,3.8
25 - 34,Postgraduate,Employed (government),Bengaluru,Sometimes (about once a month),"Yes, regularly",Urban metro city,3,4,3,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,3,4,3,3,3,4,3,2,3,4,4,4,4,3,29,Older,4,3,3.6,3,4,3,3.4,3,3.8
35 - 44,Undergraduate (completed),Student,Madurai,Often (weekly),No / I am unsure,Urban tier-2 city,4,4,3,4,4,2,2,2,3,3,3,4,3,3,4,4,4,4,5,4,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,39,Older,3,4,3.8,2.4,3.4,4.2,3,2.6,2.8
45 - 60,Postgraduate,Homemaker,Bengaluru,Sometimes (about once a month),No / I am unsure,Urban metro city,4,4,4,5,4,4,3,3,3,3,3,3,3,3,3,4,3,5,4,4,5,4,3,3,4,2,2,3,2,3,3,3,3,3,3,52,Older,4,3,4.2,3.2,3,4,3.8,2.4,3
35 - 44,Undergraduate (completed),Homemaker,Bengaluru (Jayanagar),Rarely (a few times a year),"Yes, regularly",Urban metro city,3,4,3,4,4,3,3,3,3,4,4,4,4,5,4,3,2,3,3,3,3,4,4,4,4,3,4,3,2,4,4,4,4,4,4,39,Older,3,2,3.6,3.2,4.2,2.8,3.8,3.2,4
35 - 44,Postgraduate,Employed (government),Lucknow,Always (daily),"Yes, regularly",Urban tier-2 city,3,3,4,4,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,39,Older,4,5,3.6,3.4,3.8,3,4,3,3
25 - 34,Postgraduate,Homemaker,Bengaluru (Whitefield),Sometimes (about once a month),No / I am unsure,Urban metro city,4,2,3,3,3,3,3,2,2,2,4,5,4,4,5,5,4,5,5,5,3,2,2,3,3,2,2,2,3,2,3,3,2,2,2,29,Older,4,3,3,2.4,4.4,4.8,2.6,2.2,2.4
45 - 60,Postgraduate,Employed (private sector),Bengaluru (HSR Layout),Often (weekly),"Yes, but inconsistently",Urban metro city,3,4,3,3,4,3,3,4,3,3,4,4,5,4,4,4,4,3,3,4,3,3,3,2,3,3,4,3,3,3,3,2,2,2,3,52,Older,4,4,3.4,3.2,4.2,3.6,2.8,3.2,2.4
35 - 44,Undergraduate (completed),Employed (private sector),Bangalore,Often (weekly),No / I am unsure,Urban metro city,4,4,4,3,3,3,3,3,3,2,5,5,4,4,4,2,3,3,2,3,4,5,4,4,4,3,3,3,3,3,4,4,4,4,4,39,Older,3,4,3.6,2.8,4.4,2.6,4.2,3,4
35 - 44,Undergraduate (completed),Employed (private sector),Bangalore,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,4,3,4,3,3,2,3,3,3,3,4,3,4,3,3,3,2,3,3,3,3,4,4,4,3,4,4,4,3,3,2,3,3,3,3,39,Older,3,2,3.4,2.8,3.4,2.8,3.6,3.6,2.8
